ticker,core_version,data_status,price,rsi,signal,technical_score,options_quality_score,win_probability,probability_adjustment,min_entry_credit,contracts,spread,short_strike,long_strike,expiration,dte,earnings_date,earnings_days,earnings_status,credit,commission_rt,max_loss,net_max_loss,roc,net_roc,prob_otm,delta,delta_source,iv_rank,short_iv,expected_move,em_distance,liquidity,oi,bid_ask_spread_pct,reject_reason,executable,final_score,options_score,scan_time_utc,signal_id,history_status,scan_error
NEM,2026.08.12-algo-v1.3-100,OK_EXECUTABLE_OPTIONS,117.84,75.7,CALL,70,85,76.1,0.5,0.45,1,130/135 CCS,130.0,135.0,2026-09-18,37,2026-10-22,71,OK,0.48,2.6,452.0,454.6,10.6,10.0,75.6,0.294,BS estimate from yfinance IV (not broker Greek),56.8,47.6,17.85,0.68,Media,11435.0,18.2,,True,76,85,2026-08-12T23:32:47.128167+00:00,NEM-20260812-130C135C,,
SPY,2026.08.12-algo-v1.3-100,OK_EXECUTABLE_OPTIONS,772.49,64.5,CALL,65,95,90.0,3.4,0.47,1,808/813 CCS,808.0,813.0,2026-09-18,37,No disponible,,OK,0.5,2.6,450.0,452.6,11.1,10.5,86.6,0.142,BS estimate from yfinance IV (not broker Greek),56.4,11.6,28.59,1.24,Alta,1025.0,1.8,,True,90,95,2026-08-12T23:32:47.128167+00:00,SPY-20260812-808C813C,,
XLE,2026.08.12-algo-v1.3-100,OK_EXECUTABLE_OPTIONS,61.03,64.5,CALL,65,93,79.9,2.5,0.26,1,65/67.5 CCS,65.0,67.5,2026-09-18,37,No disponible,,OK,0.28,2.6,222.0,224.6,12.6,11.3,77.4,0.251,BS estimate from yfinance IV (not broker Greek),69.0,25.8,5.01,0.79,Alta,45227.0,14.2,,True,80,93,2026-08-12T23:32:47.128167+00:00,XLE-20260812-65C67p5C,,
TLT,2026.08.12-algo-v1.3-100,OK_EXECUTABLE_OPTIONS,82.11,38.7,PUT,50,98,80.0,1.0,0.3,1,80/77 PCS,80.0,77.0,2026-09-18,37,No disponible,,OK,0.32,2.6,268.0,270.6,11.9,10.9,79.0,-0.199,BS estimate from yfinance IV (not broker Greek),41.0,11.6,3.04,0.69,Alta,40953.0,2.3,,True,80,98,2026-08-12T23:32:47.128167+00:00,TLT-20260812-80P77P,,
GLD,2026.08.12-algo-v1.3-100,OK_EXECUTABLE_OPTIONS,404.92,67.9,CALL,67,90,87.4,3.5,0.37,1,440/445 CCS,440.0,445.0,2026-09-18,37,No disponible,,OK,0.39,2.6,461.0,463.6,8.5,7.9,83.9,0.182,BS estimate from yfinance IV (not broker Greek),30.2,26.0,33.47,1.05,Alta,17006.0,6.2,,True,87,90,2026-08-12T23:32:47.128167+00:00,GLD-20260812-440C445C,,
PYPL,2026.08.12-algo-v1.3-100,OK_EXECUTABLE_OPTIONS,59.2,71.2,CALL,70,88,72.5,-0.5,0.33,1,62.5/65 CCS,62.5,65.0,2026-09-18,37,2026-10-27,76,OK,0.35,2.6,215.0,217.6,16.3,14.9,73.0,0.3,BS estimate from yfinance IV (not broker Greek),11.0,27.4,5.17,0.64,Alta,16852.0,5.8,,True,72,88,2026-08-12T23:32:47.128167+00:00,PYPL-20260812-62p5C65C,,
MCD,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
PEP,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
PG,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
KO,2026.08.12-algo-v1.3-100,ERROR,,,ERROR,,,,,,0,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,Exception during analyze_ticker,False,,,2026-08-12T23:39:45.687086+00:00,,ERROR,SetupResult.__init__() takes 39 positional arguments but 40 were given
