signal_id,opportunity_key,first_seen_utc,last_seen_pass_utc,ticker,side,spread,short_strike,long_strike,expiration,entry_dte,entry_price,entry_credit,commission_rt,net_max_loss,entry_win_probability,entry_prob_otm,entry_delta,entry_net_roc,entry_expected_move,entry_em_distance,entry_iv_rank,entry_short_iv,entry_oi,entry_bid_ask_pct,entry_liquidity,entry_rsi,entry_technical_score,entry_options_quality_score,hold_status,hold_exit_utc,hold_exit_reason,hold_pnl_net,hold_result,hold_return_pct,hold_days_held,tp50_status,tp50_exit_utc,tp50_exit_reason,tp50_exit_debit,tp50_pnl_net,tp50_result,tp50_return_pct,tp50_days_held,tp50_stop2x_status,tp50_stop2x_exit_utc,tp50_stop2x_exit_reason,tp50_stop2x_exit_debit,tp50_stop2x_pnl_net,tp50_stop2x_result,tp50_stop2x_return_pct,tp50_stop2x_days_held,latest_mark_utc,latest_underlying_price,latest_close_debit,latest_unrealized_pnl_net,latest_dte
SPY-20260813T1918-814C819C,SPY|2026-09-18|CALL|814|819,2026-08-13T19:18:49.144595+00:00,2026-08-13T19:18:49.144595+00:00,SPY,CALL,814/819 CCS,814.0,819.0,2026-09-18,36,778.0,0.49,2.6,453.6,90.0,87.1,0.137,10.2,28.52,1.26,55.8,11.7,668.0,1.3,Alta,67.5,65,95,OPEN,,,,,,,CLOSED,2026-08-17T18:57:37.526132+00:00,TP50_OBSERVED,0.23,23.4,WIN,5.16,3.99,CLOSED,2026-08-17T18:57:37.526132+00:00,TP50_OBSERVED,0.23,23.4,WIN,5.16,3.99,2026-08-20T18:58:12.906151+00:00,763.47998046875,0.06,40.4,29
ARKK-20260813T1918-90C95C,ARKK|2026-09-18|CALL|90|95,2026-08-13T19:18:49.144595+00:00,2026-08-13T19:18:49.144595+00:00,ARKK,CALL,90/95 CCS,90.0,95.0,2026-09-18,36,82.78,0.49,2.6,453.6,82.2,78.7,0.245,10.2,8.82,0.82,64.6,33.9,1058.0,20.8,Media,64.2,71,95,OPEN,,,,,,,OPEN,,,,,,,,OPEN,,,,,,,,2026-08-20T18:58:12.906151+00:00,82.88999938964844,0.79,-32.6,29
PYPL-20260813T1918-65C67.5C,PYPL|2026-09-18|CALL|65|67.5,2026-08-13T19:18:49.144595+00:00,2026-08-17T18:57:37.526132+00:00,PYPL,CALL,65/67.5 CCS,65.0,67.5,2026-09-18,36,60.48,0.22,2.6,230.6,81.0,80.0,0.224,8.4,5.11,0.88,11.0,26.9,8025.0,14.3,Alta,74.6,70,98,OPEN,,,,,,,OPEN,,,,,,,,CLOSED,2026-08-17T15:39:03.132590+00:00,STOP2X_OBSERVED,0.6,-40.6,LOSS,-17.61,3.85,2026-08-20T18:58:12.906151+00:00,62.58000183105469,0.74,-54.6,29
KO-20260814T1606-92.5C95C,KO|2026-09-18|CALL|92.5|95,2026-08-14T16:06:27.403332+00:00,2026-08-14T16:06:27.403332+00:00,KO,CALL,92.5/95 CCS,92.5,95.0,2026-09-18,35,87.86,0.21,2.6,231.6,85.5,82.0,0.194,7.9,4.66,1.0,52.3,17.1,2689.0,7.1,Alta,62.4,65,95,OPEN,,,,,,,OPEN,,,,,,,,CLOSED,2026-08-19T15:46:03.221578+00:00,STOP2X_OBSERVED,0.48,-29.6,LOSS,-12.78,4.99,2026-08-20T18:58:12.906151+00:00,91.22000122070312,0.77,-58.6,29
CSCO-20260814T1606-100P97.5P,CSCO|2026-09-18|PUT|100|97.5,2026-08-14T16:06:27.403332+00:00,2026-08-14T16:06:27.403332+00:00,CSCO,PUT,100/97.5 PCS,100.0,97.5,2026-09-18,35,110.68,0.22,2.6,230.6,90.0,86.3,-0.118,8.4,10.28,1.04,57.5,30.0,12660.0,7.3,Alta,40.6,68,95,OPEN,,,,,,,OPEN,,,,,,,,OPEN,,,,,,,,2026-08-20T18:58:12.906151+00:00,109.45999908447266,0.38,-18.6,29
JPM-20260814T1606-390C395C,JPM|2026-09-18|CALL|390|395,2026-08-14T16:06:27.403332+00:00,2026-08-17T18:57:37.526132+00:00,JPM,CALL,390/395 CCS,390.0,395.0,2026-09-18,35,363.23,0.37,2.6,465.6,90.0,87.2,0.142,7.4,21.98,1.22,36.8,19.5,875.0,20.3,Media,65.8,65,67,OPEN,,,,,,,OPEN,,,,,,,,CLOSED,2026-08-14T16:06:27.403332+00:00,STOP2X_OBSERVED,0.74,-39.6,LOSS,-8.51,0.0,2026-08-20T18:58:12.906151+00:00,353.0299987792969,0.2,14.4,29
DIS-20260814T1606-115C120C,DIS|2026-09-18|CALL|115|120,2026-08-14T16:06:27.403332+00:00,2026-08-14T16:06:27.403332+00:00,DIS,CALL,115/120 CCS,115.0,120.0,2026-09-18,35,106.41,0.38,2.6,464.6,88.6,85.1,0.166,7.6,7.76,1.11,51.9,23.6,7229.0,8.4,Alta,67.0,65,80,OPEN,,,,,,,OPEN,,,,,,,,OPEN,,,,,,,,2026-08-20T18:58:12.906151+00:00,107.5199966430664,0.54,-18.6,29
NEM-20260814T1606-135C140C,NEM|2026-09-18|CALL|135|140,2026-08-14T16:06:27.403332+00:00,2026-08-17T18:57:37.526132+00:00,NEM,CALL,135/140 CCS,135.0,140.0,2026-09-18,35,117.69,0.34,2.6,468.6,88.5,85.0,0.184,6.7,16.15,1.07,52.1,44.3,15242.0,10.5,Alta,71.0,70,95,OPEN,,,,,,,OPEN,,,,,,,,CLOSED,2026-08-17T15:39:03.132590+00:00,STOP2X_OBSERVED,0.92,-60.6,LOSS,-12.93,2.98,2026-08-20T18:58:12.906151+00:00,127.87999725341797,1.51,-119.6,29
SPY-20260814T1606-810C813C,SPY|2026-09-18|CALL|810|813,2026-08-14T16:06:27.403332+00:00,2026-08-14T16:06:27.403332+00:00,SPY,CALL,810/813 CCS,810.0,813.0,2026-09-18,35,776.42,0.31,2.6,271.6,90.0,86.7,0.14,10.5,26.91,1.25,51.6,11.2,7802.0,1.3,Alta,65.9,65,95,OPEN,,,,,,,CLOSED,2026-08-18T15:46:33.931164+00:00,TP50_OBSERVED,0.12,16.4,WIN,6.04,3.99,CLOSED,2026-08-18T15:46:33.931164+00:00,TP50_OBSERVED,0.12,16.4,WIN,6.04,3.99,2026-08-20T18:58:12.906151+00:00,763.47998046875,0.07,21.4,29
IWM-20260814T1606-322C325C,IWM|2026-09-18|CALL|322|325,2026-08-14T16:06:27.403332+00:00,2026-08-14T19:13:12.387647+00:00,IWM,CALL,322/325 CCS,322.0,325.0,2026-09-18,35,304.36,0.24,2.6,278.6,90.0,87.5,0.134,7.7,14.03,1.26,29.7,14.9,211.0,5.1,Media,62.6,65,67,OPEN,,,,,,,CLOSED,2026-08-20T15:49:43.584256+00:00,TP50_OBSERVED,0.09,12.4,WIN,4.45,5.99,CLOSED,2026-08-20T15:49:43.584256+00:00,TP50_OBSERVED,0.09,12.4,WIN,4.45,5.99,2026-08-20T18:58:12.906151+00:00,297.32000732421875,0.08,13.4,29
MSFT-20260814T1913-540C545C,MSFT|2026-09-18|CALL|540|545,2026-08-14T19:13:12.387647+00:00,2026-08-14T19:13:12.387647+00:00,MSFT,CALL,540/545 CCS,540.0,545.0,2026-09-18,35,494.67,0.45,2.6,457.6,90.0,86.5,0.152,9.3,38.68,1.17,98.6,25.3,7562.0,5.5,Alta,70.5,70,95,OPEN,,,,,,,OPEN,,,,,,,,OPEN,,,,,,,,2026-08-20T18:58:12.906151+00:00,482.2349853515625,0.33,9.4,29
CSCO-20260814T1913-105P100P,CSCO|2026-09-18|PUT|105|100,2026-08-14T19:13:12.387647+00:00,2026-08-14T19:13:12.387647+00:00,CSCO,PUT,105/100 PCS,105.0,100.0,2026-09-18,35,111.79,0.74,2.6,428.6,77.0,76.0,-0.213,16.7,9.99,0.68,56.2,28.8,5355.0,7.3,Alta,42.0,64,100,OPEN,,,,,,,OPEN,,,,,,,,OPEN,,,,,,,,2026-08-20T18:58:12.906151+00:00,109.45500183105469,1.08,-36.6,29
COP-20260814T1913-140C145C,COP|2026-09-18|CALL|140|145,2026-08-14T19:13:12.387647+00:00,2026-08-14T19:13:12.387647+00:00,COP,CALL,140/145 CCS,140.0,145.0,2026-09-18,35,126.87,0.32,2.6,470.6,89.7,86.2,0.159,6.2,11.46,1.15,52.3,29.2,3509.0,13.3,Alta,65.1,65,80,OPEN,,,,,,,OPEN,,,,,,,,CLOSED,2026-08-18T15:46:33.931164+00:00,STOP2X_OBSERVED,0.71,-41.6,LOSS,-8.84,3.86,2026-08-20T18:58:12.906151+00:00,134.49000549316406,1.34,-104.6,29
AMGN-20260814T1913-440C445C,AMGN|2026-09-18|CALL|440|445,2026-08-14T19:13:12.387647+00:00,2026-08-14T19:13:12.387647+00:00,AMGN,CALL,440/445 CCS,440.0,445.0,2026-09-18,35,414.52,0.55,2.6,447.6,80.2,78.2,0.24,11.7,30.88,0.83,53.4,24.1,8423.0,7.9,Alta,69.2,65,100,OPEN,,,,,,,OPEN,,,,,,,,CLOSED,2026-08-17T15:39:03.132590+00:00,STOP2X_OBSERVED,2.18,-165.6,LOSS,-37.0,2.85,2026-08-20T18:58:12.906151+00:00,433.6199951171875,2.9,-237.6,29
LIN-20260814T1913-460P455P,LIN|2026-09-18|PUT|460|455,2026-08-14T19:13:12.387647+00:00,2026-08-18T15:46:33.931164+00:00,LIN,PUT,460/455 PCS,460.0,455.0,2026-09-18,35,483.33,0.5,2.6,452.6,80.8,77.8,-0.202,10.5,32.51,0.72,84.1,21.7,1196.0,20.0,Media,38.4,64,95,OPEN,,,,,,,OPEN,,,,,,,,CLOSED,2026-08-14T19:13:12.387647+00:00,STOP2X_OBSERVED,1.6,-112.6,LOSS,-24.88,0.0,2026-08-20T18:58:12.906151+00:00,480.05999755859375,1.7,-122.6,29
SPY-20260814T1913-810C815C,SPY|2026-09-18|CALL|810|815,2026-08-14T19:13:12.387647+00:00,2026-08-14T19:13:12.387647+00:00,SPY,CALL,810/815 CCS,810.0,815.0,2026-09-18,35,776.12,0.49,2.6,453.6,90.0,87.1,0.136,10.2,26.72,1.27,51.7,11.1,7802.0,1.4,Alta,65.5,65,95,OPEN,,,,,,,CLOSED,2026-08-18T15:46:33.931164+00:00,TP50_OBSERVED,0.18,28.4,WIN,6.26,3.86,CLOSED,2026-08-18T15:46:33.931164+00:00,TP50_OBSERVED,0.18,28.4,WIN,6.26,3.86,2026-08-20T18:58:12.906151+00:00,763.47998046875,0.09,37.4,29
